num_factories,num_countries,num_children,variance,execution_time,num_variables,num_restrictions
101,2,200,0.1,0.016119003295898438,461,461
101,2,200,0.29,0.014841318130493164,403,403
101,2,200,0.89,0.013391256332397461,353,353
101,2,1000,0.1,0.07035708427429199,1702,1702
101,2,1000,0.29,0.06251096725463867,1726,1726
101,2,1000,0.89,0.0628507137298584,1840,1840
101,2,5000,0.1,0.3230712413787842,7720,7720
101,2,5000,0.29,0.3079533576965332,7914,7914
101,2,5000,0.89,0.30851221084594727,8414,8414
101,50,200,0.1,0.01204228401184082,7672,7672
101,50,200,0.29,0.011784791946411133,7332,7332
101,50,200,0.89,0.012543201446533203,8302,8302
101,50,1000,0.1,0.0575253963470459,27353,27353
101,50,1000,0.29,0.05622577667236328,28439,28439
101,50,1000,0.89,0.06482362747192383,26162,26162
101,50,5000,0.1,0.30597591400146484,132610,132610
101,50,5000,0.29,0.30204010009765625,135702,135702
101,50,5000,0.89,0.31189751625061035,150797,150797
101,100,200,0.1,0.013103008270263672,15140,15140
101,100,200,0.29,0.012479305267333984,15183,15183
101,100,200,0.89,0.012885332107543945,13374,13374
101,100,1000,0.1,0.05953025817871094,56915,56915
101,100,1000,0.29,0.06235170364379883,55574,55574
101,100,1000,0.89,0.06325149536132812,54987,54987
101,100,5000,0.1,0.3011631965637207,257448,257448
101,100,5000,0.29,0.2880723476409912,255331,255331
101,100,5000,0.89,0.3198249340057373,247563,247563
500,2,200,0.1,0.00867009162902832,1047,1047
500,2,200,0.29,0.00898432731628418,1014,1014
500,2,200,0.89,0.009413957595825195,1119,1119
500,2,1000,0.1,0.044342994689941406,2173,2173
500,2,1000,0.29,0.0423130989074707,2070,2070
500,2,1000,0.89,0.04472517967224121,1931,1931
500,2,5000,0.1,0.2222611904144287,8468,8468
500,2,5000,0.29,0.22483277320861816,8278,8278
500,2,5000,0.89,0.22133874893188477,6157,6157
500,50,200,0.1,0.013091802597045898,17742,17742
500,50,200,0.29,0.013158798217773438,17706,17706
500,50,200,0.89,0.011771440505981445,20241,20241
500,50,1000,0.1,0.0496218204498291,37824,37824
500,50,1000,0.29,0.04635787010192871,37535,37535
500,50,1000,0.89,0.04974198341369629,35210,35210
500,50,5000,0.1,0.2284069061279297,138215,138215
500,50,5000,0.29,0.23044371604919434,135630,135630
500,50,5000,0.89,0.22974205017089844,169795,169795
500,100,200,0.1,0.010409116744995117,35686,35686
500,100,200,0.29,0.010031938552856445,34116,34116
500,100,200,0.89,0.010252952575683594,37443,37443
500,100,1000,0.1,0.0470883846282959,74660,74660
500,100,1000,0.29,0.047432899475097656,77518,77518
500,100,1000,0.89,0.04784131050109863,63905,63905
500,100,5000,0.1,0.22550582885742188,276139,276139
500,100,5000,0.29,0.2339484691619873,274876,274876
500,100,5000,0.89,0.23360466957092285,269430,269430
1000,2,200,0.1,0.009003162384033203,1794,1794
1000,2,200,0.29,0.008709430694580078,1794,1794
1000,2,200,0.89,0.008133172988891602,2400,2400
1000,2,1000,0.1,0.043650150299072266,3088,3088
1000,2,1000,0.29,0.043792724609375,3044,3044
1000,2,1000,0.89,0.04432535171508789,2485,2485
1000,2,5000,0.1,0.22259116172790527,9553,9553
1000,2,5000,0.29,0.21786737442016602,9092,9092
1000,2,5000,0.89,0.2177731990814209,9665,9665
1000,50,200,0.1,0.009497880935668945,30464,30464
1000,50,200,0.29,0.009305238723754883,30733,30733
1000,50,200,0.89,0.01049184799194336,29952,29952
1000,50,1000,0.1,0.04465031623840332,51224,51224
1000,50,1000,0.29,0.043814659118652344,54170,54170
1000,50,1000,0.89,0.04364943504333496,42774,42774
1000,50,5000,0.1,0.2141551971435547,152610,152610
1000,50,5000,0.29,0.24888229370117188,155031,155031
1000,50,5000,0.89,0.23346614837646484,145353,145353
1000,100,200,0.1,0.010113716125488281,60538,60538
1000,100,200,0.29,0.009645462036132812,58571,58571
1000,100,200,0.89,0.010037899017333984,51619,51619
1000,100,1000,0.1,0.04324841499328613,101206,101206
1000,100,1000,0.29,0.04611968994140625,101865,101865
1000,100,1000,0.89,0.045761823654174805,99445,99445
1000,100,5000,0.1,0.21877431869506836,302416,302416
1000,100,5000,0.29,0.2203216552734375,309137,309137
1000,100,5000,0.89,0.24343562126159668,292789,292789
2000,2,200,0.1,0.010257959365844727,3189,3189
2000,2,200,0.29,0.009911060333251953,3275,3275
2000,2,200,0.89,0.009802579879760742,3252,3252
2000,2,1000,0.1,0.043154001235961914,4647,4647
2000,2,1000,0.29,0.04311943054199219,4956,4956
2000,2,1000,0.89,0.04717421531677246,3994,3994
2000,2,5000,0.1,0.21201848983764648,10814,10814
2000,2,5000,0.29,0.21676373481750488,10073,10073
2000,2,5000,0.89,0.21473288536071777,11689,11689
2000,50,200,0.1,0.010728836059570312,57091,57091
2000,50,200,0.29,0.010096073150634766,57528,57528
2000,50,200,0.89,0.010424613952636719,50158,50158
2000,50,1000,0.1,0.045221805572509766,77948,77948
2000,50,1000,0.29,0.045502424240112305,75913,75913
2000,50,1000,0.89,0.04489326477050781,86794,86794
2000,50,5000,0.1,0.20445919036865234,180501,180501
2000,50,5000,0.29,0.21752381324768066,177345,177345
2000,50,5000,0.89,0.23128962516784668,182993,182993
2000,100,200,0.1,0.010331392288208008,108897,108897
2000,100,200,0.29,0.009739160537719727,114267,114267
2000,100,200,0.89,0.010431766510009766,98990,98990
2000,100,1000,0.1,0.0438990592956543,151271,151271
2000,100,1000,0.29,0.04312634468078613,152865,152865
2000,100,1000,0.89,0.04596853256225586,136477,136477
2000,100,5000,0.1,0.20786309242248535,357439,357439
2000,100,5000,0.29,0.21026062965393066,372082,372082
2000,100,5000,0.89,0.2212510108947754,317396,317396
